Accession	Description	Organism	Length
A0A667ZS77	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	851
A0A672ISK0	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	886
A0A672IUX5	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	877
A0A7K7APG7	BICD2 protein (Fragment) OS=Nothoprocta ornata OX=83376 GN=Bicd2 PE=3 SV=1	Nothoprocta ornata	768
A0A3Q1IMT1	Protein bicaudal D homolog 2-like OS=Anabas testudineus OX=64144 GN=FGD3 PE=3 SV=1	Anabas testudineus	820
A0A3Q1IQW9	Protein bicaudal D homolog 2-like OS=Anabas testudineus OX=64144 GN=FGD3 PE=3 SV=2	Anabas testudineus	856
A0A7N6BQH1	Protein bicaudal D homolog 2-like OS=Anabas testudineus OX=64144 GN=FGD3 PE=3 SV=1	Anabas testudineus	842
A0A7K5WR18	BICD2 protein (Fragment) OS=Hylia prasina OX=208073 GN=Bicd2 PE=3 SV=1	Hylia prasina	766
A0A091N0R6	Protein bicaudal D 2 (Fragment) OS=Apaloderma vittatum OX=57397 GN=N311_02821 PE=3 SV=1	Apaloderma vittatum	766
A0A671VUU4	BICD cargo adaptor 2 OS=Sparus aurata OX=8175 GN=BICD2 PE=3 SV=1	Sparus aurata	821
A0A087YB49	Protein bicaudal D homolog 2 OS=Poecilia formosa OX=48698 GN=BICD2 PE=3 SV=2	Poecilia formosa	861
A0A3P9NX11	BICD cargo adaptor 2 OS=Poecilia reticulata OX=8081 GN=BICD2 PE=3 SV=1	Poecilia reticulata	867
A0A7K8ECI4	BICD2 protein (Fragment) OS=Leucopsar rothschildi OX=127929 GN=Bicd2 PE=3 SV=1	Leucopsar rothschildi	766
A0A096ME17	Protein bicaudal D homolog 2 OS=Poecilia formosa OX=48698 GN=BICD2 PE=3 SV=1	Poecilia formosa	865
A0A7K5HP71	BICD2 protein (Fragment) OS=Crotophaga sulcirostris OX=33598 GN=Bicd2 PE=3 SV=1	Crotophaga sulcirostris	763
A0A7K4XVJ4	BICD2 protein (Fragment) OS=Regulus satrapa OX=13245 GN=Bicd2 PE=3 SV=1	Regulus satrapa	766
A0A7L4DE94	BICD2 protein (Fragment) OS=Eurystomus gularis OX=325343 GN=Bicd2 PE=3 SV=1	Eurystomus gularis	772
A0A668VWE4	BICD cargo adaptor 2 OS=Oreochromis aureus OX=47969 PE=3 SV=1	Oreochromis aureus	817
A0A6A5FCV9	BICD cargo adaptor 2 OS=Perca fluviatilis OX=8168 GN=PFLUV_G00056620 PE=3 SV=1	Perca fluviatilis	812
A0A6G1Q3P0	Protein bicaudal D-like protein 2 OS=Channa argus OX=215402 GN=EXN66_Car012749 PE=3 SV=1	Channa argus	862
A0A093HZA4	Protein bicaudal D 2 (Fragment) OS=Struthio camelus australis OX=441894 GN=N308_01956 PE=3 SV=1	Struthio camelus australis	779
A0A7K7GF93	BICD2 protein (Fragment) OS=Erithacus rubecula OX=37610 GN=Bicd2 PE=3 SV=1	Erithacus rubecula	773
A0A3Q3NNS2	Protein bicaudal D homolog 2-like OS=Mastacembelus armatus OX=205130 PE=3 SV=2	Mastacembelus armatus	820
A0A673CQ92	Protein bicaudal D homolog 2-like OS=Sphaeramia orbicularis OX=375764 GN=LOC115423070 PE=3 SV=1	Sphaeramia orbicularis	808
A0A3Q3ARM2	Protein bicaudal D homolog 2-like OS=Kryptolebias marmoratus OX=37003 GN=BICD2 PE=3 SV=1	Kryptolebias marmoratus	858
A0A665VZP9	Protein bicaudal D homolog 2-like OS=Echeneis naucrates OX=173247 GN=LOC115046032 PE=3 SV=1	Echeneis naucrates	852
A0A3P9DIP5	Protein bicaudal D homolog 2 OS=Maylandia zebra OX=106582 GN=BICD2 PE=3 SV=1	Maylandia zebra	815
A0A8C9X1Z8	Protein bicaudal D homolog 2-like OS=Sander lucioperca OX=283035 GN=BICD2 PE=3 SV=1	Sander lucioperca	812
A0A665VYU4	Protein bicaudal D homolog 2-like OS=Echeneis naucrates OX=173247 GN=LOC115046032 PE=3 SV=1	Echeneis naucrates	830
A0A484D590	BICD cargo adaptor 2 OS=Perca flavescens OX=8167 GN=EPR50_G00074510 PE=3 SV=1	Perca flavescens	852
A0A851J6R6	BICD2 protein (Fragment) OS=Donacobius atricapilla OX=237420 GN=Bicd2 PE=3 SV=1	Donacobius atricapilla	769
A0A671VYC1	BICD cargo adaptor 2 OS=Sparus aurata OX=8175 GN=BICD2 PE=3 SV=1	Sparus aurata	838
A0A667ZSF2	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	849
A0A671VWL6	BICD cargo adaptor 2 OS=Sparus aurata OX=8175 GN=BICD2 PE=3 SV=1	Sparus aurata	920
A0A3P9DJS6	Protein bicaudal D homolog 2 OS=Maylandia zebra OX=106582 GN=BICD2 PE=3 SV=1	Maylandia zebra	830
A0A668VWE2	BICD cargo adaptor 2 OS=Oreochromis aureus OX=47969 PE=3 SV=1	Oreochromis aureus	846
A0A668VWD7	BICD cargo adaptor 2 OS=Oreochromis aureus OX=47969 PE=3 SV=1	Oreochromis aureus	829
A0A3Q2X4E4	Protein bicaudal D homolog 2-like OS=Haplochromis burtoni OX=8153 GN=BICD2 PE=3 SV=1	Haplochromis burtoni	830
A0A3Q3CDM9	Protein bicaudal D homolog 2-like OS=Haplochromis burtoni OX=8153 GN=BICD2 PE=3 SV=1	Haplochromis burtoni	845
V8NXN2	Protein bicaudal D-like 2 (Fragment) OS=Ophiophagus hannah OX=8665 GN=BICD2 PE=3 SV=1	Ophiophagus hannah	768
A0A8C9L9L8	BICD2 protein OS=Pavo cristatus OX=9049 PE=3 SV=1	Pavo cristatus	824
A0A7N8YCG1	Protein bicaudal D homolog 2-like OS=Mastacembelus armatus OX=205130 PE=3 SV=1	Mastacembelus armatus	821
A0A7K9EVR0	BICD2 protein (Fragment) OS=Baryphthengus martii OX=176943 GN=Bicd2 PE=3 SV=1	Baryphthengus martii	773
A0A7N8YQC7	Protein bicaudal D homolog 2-like OS=Mastacembelus armatus OX=205130 PE=3 SV=1	Mastacembelus armatus	860
A0A673CS28	Protein bicaudal D homolog 2-like OS=Sphaeramia orbicularis OX=375764 GN=LOC115423070 PE=3 SV=1	Sphaeramia orbicularis	816
A0A673CQ86	Protein bicaudal D homolog 2-like OS=Sphaeramia orbicularis OX=375764 GN=LOC115423070 PE=3 SV=1	Sphaeramia orbicularis	831
A0A6P7MZS7	Protein bicaudal D homolog 2 isoform X1 OS=Betta splendens OX=158456 GN=zgc:171572 PE=3 SV=1	Betta splendens	853
A0A6P7MY49	Protein bicaudal D homolog 2 isoform X2 OS=Betta splendens OX=158456 GN=zgc:171572 PE=3 SV=1	Betta splendens	813
A0A671VYC6	BICD cargo adaptor 2 OS=Sparus aurata OX=8175 GN=BICD2 PE=3 SV=1	Sparus aurata	909
A0A8C7ZHK2	BICD cargo adaptor 2 OS=Oryzias sinensis OX=183150 GN=BICD2 PE=3 SV=1	Oryzias sinensis	831
A0A3L8RY15	Protein bicaudal D homolog 2 OS=Chloebia gouldiae OX=44316 GN=DV515_00014515 PE=3 SV=1	Chloebia gouldiae	796
A0A8C9WZ61	Protein bicaudal D homolog 2-like OS=Sander lucioperca OX=283035 GN=BICD2 PE=3 SV=1	Sander lucioperca	852
A0A8C9X5B1	Protein bicaudal D homolog 2-like OS=Sander lucioperca OX=283035 GN=BICD2 PE=3 SV=1	Sander lucioperca	843
A0A8C9X1K0	Protein bicaudal D homolog 2-like OS=Sander lucioperca OX=283035 GN=BICD2 PE=3 SV=1	Sander lucioperca	842
A0A8C4EHN6	Protein bicaudal D homolog 2 OS=Dicentrarchus labrax OX=13489 PE=3 SV=1	Dicentrarchus labrax	835
A0A8P4G1B4	Protein bicaudal D homolog 2 OS=Dicentrarchus labrax OX=13489 PE=3 SV=1	Dicentrarchus labrax	860
A0A8C4EFQ1	Protein bicaudal D homolog 2 OS=Dicentrarchus labrax OX=13489 PE=3 SV=1	Dicentrarchus labrax	820
A0A8C4ELH0	Protein bicaudal D homolog 2 OS=Dicentrarchus labrax OX=13489 PE=3 SV=1	Dicentrarchus labrax	821
A0A7K6U9D8	BICD2 protein (Fragment) OS=Aegotheles bennettii OX=48278 GN=Bicd2 PE=3 SV=1	Aegotheles bennettii	768
A0A8C0IIJ1	BICD cargo adaptor 2 OS=Bubo bubo OX=30461 PE=3 SV=1	Bubo bubo	792
A0A8D0CQB8	Protein bicaudal D homolog 2-like OS=Sander lucioperca OX=283035 GN=BICD2 PE=3 SV=1	Sander lucioperca	835
A0A3B5QWW2	Protein bicaudal D homolog 2-like OS=Xiphophorus maculatus OX=8083 GN=BICD2 PE=3 SV=1	Xiphophorus maculatus	835
A0A3Q2X5K8	Protein bicaudal D homolog 2-like OS=Haplochromis burtoni OX=8153 GN=BICD2 PE=3 SV=1	Haplochromis burtoni	821
A0A665VZR1	Protein bicaudal D homolog 2-like OS=Echeneis naucrates OX=173247 GN=LOC115046032 PE=3 SV=1	Echeneis naucrates	849
M4AT16	Protein bicaudal D homolog 2-like OS=Xiphophorus maculatus OX=8083 GN=BICD2 PE=3 SV=2	Xiphophorus maculatus	820
A0A8C9X1W2	Protein bicaudal D homolog 2-like OS=Sander lucioperca OX=283035 GN=BICD2 PE=3 SV=1	Sander lucioperca	852
H2M6F0	Protein bicaudal D homolog 2 OS=Oryzias latipes OX=8090 GN=BICD2 PE=3 SV=2	Oryzias latipes	839
A0A7N8XY30	Protein bicaudal D homolog 2-like OS=Mastacembelus armatus OX=205130 PE=3 SV=1	Mastacembelus armatus	851
A0A8C7ZHJ0	BICD cargo adaptor 2 OS=Oryzias sinensis OX=183150 GN=BICD2 PE=3 SV=1	Oryzias sinensis	839
A0A8C7ZI34	BICD cargo adaptor 2 OS=Oryzias sinensis OX=183150 GN=BICD2 PE=3 SV=1	Oryzias sinensis	820
A0A673CN15	Protein bicaudal D homolog 2-like OS=Sphaeramia orbicularis OX=375764 GN=LOC115423070 PE=3 SV=1	Sphaeramia orbicularis	854
A0A673CKL1	Protein bicaudal D homolog 2-like OS=Sphaeramia orbicularis OX=375764 GN=LOC115423070 PE=3 SV=1	Sphaeramia orbicularis	849
A0A673CGN8	Protein bicaudal D homolog 2-like OS=Sphaeramia orbicularis OX=375764 GN=LOC115423070 PE=3 SV=1	Sphaeramia orbicularis	809
A0A834FCN2	Bicaudal D-like protein 2 OS=Oryzias melastigma OX=30732 GN=FQA47_016538 PE=3 SV=1	Oryzias melastigma	860
A0A6G0IQT9	Protein bicaudal D-like protein 2 OS=Larimichthys crocea OX=215358 GN=D5F01_LYC08765 PE=3 SV=1	Larimichthys crocea	820
A0A8C6Q2M4	Protein bicaudal D homolog 2-like OS=Nothobranchius furzeri OX=105023 GN=BICD2 PE=3 SV=1	Nothobranchius furzeri	860
A0A3Q2CYM8	Protein bicaudal D homolog 2-like OS=Cyprinodon variegatus OX=28743 GN=BICD2 PE=3 SV=1	Cyprinodon variegatus	837
A0A6J2W6D2	Protein bicaudal D homolog 2-like isoform X1 OS=Chanos chanos OX=29144 GN=LOC115820309 PE=3 SV=1	Chanos chanos	860
A0A6J2W2X7	Protein bicaudal D homolog 2-like isoform X2 OS=Chanos chanos OX=29144 GN=LOC115820309 PE=3 SV=1	Chanos chanos	827
A0A3Q3ELR9	Protein bicaudal D homolog 2-like OS=Labrus bergylta OX=56723 GN=BICD2 PE=3 SV=1	Labrus bergylta	858
A0A2I4CLS1	Protein bicaudal D homolog 2-like OS=Austrofundulus limnaeus OX=52670 GN=LOC106529942 PE=3 SV=1	Austrofundulus limnaeus	862
H3B4P8	BICD cargo adaptor 2 OS=Latimeria chalumnae OX=7897 GN=BICD2 PE=3 SV=1	Latimeria chalumnae	772
A0A667ZSA3	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	853
A0A8C7ZI44	BICD cargo adaptor 2 OS=Oryzias sinensis OX=183150 GN=BICD2 PE=3 SV=1	Oryzias sinensis	864
A0A437D7S1	Protein bicaudal D homolog 2 OS=Oryzias javanicus OX=123683 GN=OJAV_G00067480 PE=3 SV=1	Oryzias javanicus	839
A0A8C7ZJB4	BICD cargo adaptor 2 OS=Oryzias sinensis OX=183150 GN=BICD2 PE=3 SV=1	Oryzias sinensis	812
A0A8C6VZH9	Protein bicaudal D homolog 2-like OS=Nothobranchius furzeri OX=105023 GN=BICD2 PE=3 SV=1	Nothobranchius furzeri	856
A0A8C6Q0B7	Protein bicaudal D homolog 2-like OS=Nothobranchius furzeri OX=105023 GN=BICD2 PE=3 SV=1	Nothobranchius furzeri	837
A0A6P6BT98	inositol-pentakisphosphate 2-kinase OS=Pteropus vampyrus OX=132908 GN=LOC105304687 PE=3 SV=1	Pteropus vampyrus	1197
A0A6J2Q166	LOW QUALITY PROTEIN: protein bicaudal D homolog 2-like OS=Cottoperca gobio OX=56716 GN=LOC115010539 PE=3 SV=1	Cottoperca gobio	872
W5L7Q1	Protein bicaudal D homolog 2-like OS=Astyanax mexicanus OX=7994 GN=BICD2 PE=3 SV=1	Astyanax mexicanus	813
A0A3B1JKI1	Protein bicaudal D homolog 2-like OS=Astyanax mexicanus OX=7994 GN=BICD2 PE=3 SV=1	Astyanax mexicanus	848
A0A3B1JWP8	Protein bicaudal D homolog 2-like OS=Astyanax mexicanus OX=7994 GN=BICD2 PE=3 SV=1	Astyanax mexicanus	828
A0A8C9X1Y5	Protein bicaudal D homolog 2-like OS=Sander lucioperca OX=283035 GN=BICD2 PE=3 SV=1	Sander lucioperca	829
A0A669EK75	BICD cargo adaptor 2 OS=Oreochromis niloticus OX=8128 GN=BICD2 PE=3 SV=1	Oreochromis niloticus	794
A0A669EWE9	BICD cargo adaptor 2 OS=Oreochromis niloticus OX=8128 GN=BICD2 PE=3 SV=1	Oreochromis niloticus	852
I3KKN9	BICD cargo adaptor 2 OS=Oreochromis niloticus OX=8128 GN=BICD2 PE=3 SV=2	Oreochromis niloticus	828
A0A2U9C2Q0	BICD cargo adaptor 2 OS=Scophthalmus maximus OX=52904 GN=SMAX5B_014557 PE=3 SV=1	Scophthalmus maximus	918
A0A7N5P4K4	BICD cargo adaptor 2 OS=Ailuropoda melanoleuca OX=9646 GN=BICD2 PE=3 SV=1	Ailuropoda melanoleuca	765
A0A8C6Q4G1	Protein bicaudal D homolog 2-like OS=Nothobranchius furzeri OX=105023 GN=BICD2 PE=3 SV=1	Nothobranchius furzeri	843
A0A8C3G7Q0	BICD cargo adaptor 2 OS=Cyclopterus lumpus OX=8103 GN=BICD2 PE=3 SV=1	Cyclopterus lumpus	870
A0A8C5D7I6	Protein bicaudal D homolog 2-like OS=Gouania willdenowi OX=441366 GN=LOC114467691 PE=3 SV=1	Gouania willdenowi	825
A0A8C5D5X7	Protein bicaudal D homolog 2-like OS=Gouania willdenowi OX=441366 GN=LOC114467691 PE=3 SV=1	Gouania willdenowi	847
A0A4W5MWJ7	BICD cargo adaptor 2 OS=Hucho hucho OX=62062 GN=BICD2 PE=3 SV=1	Hucho hucho	804
A0A8C6UET6	BICD cargo adaptor 2 OS=Neogobius melanostomus OX=47308 PE=3 SV=1	Neogobius melanostomus	853
A0A6P8U7F3	Protein bicaudal D homolog 2-like isoform X2 OS=Gymnodraco acuticeps OX=8218 GN=LOC117543119 PE=3 SV=1	Gymnodraco acuticeps	814
A0A6P8TS63	Protein bicaudal D homolog 2-like isoform X1 OS=Gymnodraco acuticeps OX=8218 GN=LOC117543119 PE=3 SV=1	Gymnodraco acuticeps	854
A0A6I9Q1W7	Protein bicaudal D homolog 2-like OS=Notothenia coriiceps OX=8208 GN=LOC104966709 PE=3 SV=1	Notothenia coriiceps	854
A0A315W8F7	BICD cargo adaptor 2 OS=Gambusia affinis OX=33528 GN=CCH79_00006644 PE=3 SV=1	Gambusia affinis	977
A0A673X2Q0	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	821
A0A673X2L9	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	808
A0A673WUC3	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	810
W5N9R0	BICD cargo adaptor 2 OS=Lepisosteus oculatus OX=7918 GN=BICD2 PE=3 SV=1	Lepisosteus oculatus	850
A0A8C3AF55	BICD cargo adaptor 2 OS=Cyclopterus lumpus OX=8103 GN=BICD2 PE=3 SV=1	Cyclopterus lumpus	840
A0A1S3LH43	Protein bicaudal D homolog 2-like OS=Salmo salar OX=8030 GN=LOC106566609 PE=3 SV=1	Salmo salar	856
A0A8B7QCC6	inositol-pentakisphosphate 2-kinase OS=Hipposideros armiger OX=186990 GN=LOC109375243 PE=3 SV=1	Hipposideros armiger	1197
A0A8C3ADB0	BICD cargo adaptor 2 OS=Cyclopterus lumpus OX=8103 GN=BICD2 PE=3 SV=1	Cyclopterus lumpus	859
A0A4Z2B5M6	BICD cargo adaptor 2 OS=Takifugu bimaculatus OX=433685 GN=fugu_007136 PE=3 SV=1	Takifugu bimaculatus	860
A0A673Z2V3	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	804
A0A673WUH5	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	830
A0A4W5MUU9	BICD cargo adaptor 2 OS=Hucho hucho OX=62062 GN=BICD2 PE=3 SV=1	Hucho hucho	816
A0A4W5MWF0	BICD cargo adaptor 2 OS=Hucho hucho OX=62062 GN=BICD2 PE=3 SV=1	Hucho hucho	831
A0A3Q3XHA7	BICD cargo adaptor 2 OS=Mola mola OX=94237 PE=3 SV=1	Mola mola	840
A0A8C5D987	Protein bicaudal D homolog 2-like OS=Gouania willdenowi OX=441366 GN=LOC114467691 PE=3 SV=1	Gouania willdenowi	875
A0A673X2M5	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	856
A0A673Z1E2	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	811
A0A8U1EZT5	Protein bicaudal D homolog 2-like OS=Salvelinus namaycush OX=8040 GN=LOC120061335 PE=3 SV=1	Salvelinus namaycush	856
A0A674NCL3	Protein bicaudal D homolog 2 OS=Takifugu rubripes OX=31033 GN=BICD2 PE=3 SV=1	Takifugu rubripes	860
A0A674MBK7	Protein bicaudal D homolog 2 OS=Takifugu rubripes OX=31033 GN=BICD2 PE=3 SV=1	Takifugu rubripes	835
A0A8C7JK46	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	820
A0A673Z2D7	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	815
A0A6Q2ZP49	Protein bicaudal D homolog 2 OS=Esox lucius OX=8010 GN=BICD2 PE=3 SV=1	Esox lucius	814
A0A6Q2ZPR2	Protein bicaudal D homolog 2 OS=Esox lucius OX=8010 GN=BICD2 PE=3 SV=1	Esox lucius	803
A0A8C8HA46	BICD cargo adaptor 2 OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	810
A0A8C8CW49	Protein bicaudal D homolog 2-like OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	855
A0A8C8EMY2	Protein bicaudal D homolog 2-like OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	831
A0A8C8CM24	Protein bicaudal D homolog 2-like OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	844
A0A8C7GHU1	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	808
A0A673Z1X5	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	821
A0A673Z270	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	816
A0A8C7JM63	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	831
A0A8C7JQ50	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	851
A0A8C7JKD0	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	821
A0A1S3MD85	Protein bicaudal D homolog 2-like isoform X3 OS=Salmo salar OX=8030 GN=LOC106571893 PE=3 SV=1	Salmo salar	856
A0A7J6CQB4	Uncharacterized protein OS=Onychostoma macrolepis OX=369639 GN=G5714_008781 PE=3 SV=1	Onychostoma macrolepis	805
A0A060X1A5	Uncharacterized protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00054074001 PE=3 SV=1	Oncorhynchus mykiss	844
A0A3P9AC75	Protein bicaudal D homolog 2 OS=Esox lucius OX=8010 GN=BICD2 PE=3 SV=1	Esox lucius	854
A0A3P9AB76	Protein bicaudal D homolog 2 OS=Esox lucius OX=8010 GN=BICD2 PE=3 SV=1	Esox lucius	829
A0A3P8YQ16	Protein bicaudal D homolog 2 OS=Esox lucius OX=8010 GN=BICD2 PE=3 SV=1	Esox lucius	832
A0A8C8HA66	BICD cargo adaptor 2 OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	832
A0A8C4GLU7	BICD cargo adaptor 2 OS=Dicentrarchus labrax OX=13489 PE=3 SV=1	Dicentrarchus labrax	848
A0A8C8M2J4	BICD cargo adaptor 2 OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	817
A0A8C7GLP6	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	830
A0A8D2QUW3	BICD cargo adaptor 2 OS=Zosterops lateralis melanops OX=1220523 PE=3 SV=1	Zosterops lateralis melanops	701
A0A8C7GGU3	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	816
A0A8C0BUX7	BICD cargo adaptor 2 OS=Buteo japonicus OX=224669 PE=3 SV=1	Buteo japonicus	701
A0A8C8CV10	Protein bicaudal D homolog 2-like OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	853
A0A673Z2A4	Protein bicaudal D homolog 2-like OS=Salmo trutta OX=8032 GN=BICD2 PE=3 SV=1	Salmo trutta	857
A0A8C7JMI7	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	853
A0A674MLU8	Protein bicaudal D homolog 2 OS=Takifugu rubripes OX=31033 GN=BICD2 PE=3 SV=1	Takifugu rubripes	826
A0A8C8M2J8	BICD cargo adaptor 2 OS=Oncorhynchus tshawytscha OX=74940 GN=BICD2 PE=3 SV=1	Oncorhynchus tshawytscha	856
A0A674PJL4	Protein bicaudal D homolog 2 OS=Takifugu rubripes OX=31033 GN=BICD2 PE=3 SV=1	Takifugu rubripes	882
A0A663MN79	BICD cargo adaptor 2 OS=Athene cunicularia OX=194338 GN=BICD2 PE=3 SV=1	Athene cunicularia	701
A0A7J8IGA2	BICD cargo adaptor 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_001475 PE=3 SV=1	Rousettus aegyptiacus	697
A0A8B7IW60	Protein bicaudal D homolog 2 isoform X2 OS=Apteryx mantelli mantelli OX=202946 GN=BICD2 PE=3 SV=1	Apteryx mantelli mantelli	701
H2TC96	Protein bicaudal D homolog 2 OS=Takifugu rubripes OX=31033 GN=BICD2 PE=3 SV=3	Takifugu rubripes	822
A0A8C7GKF1	BICD cargo adaptor 2 OS=Oncorhynchus kisutch OX=8019 GN=BICD2 PE=3 SV=1	Oncorhynchus kisutch	856
A0A8B7IXC8	Protein bicaudal D homolog 2 isoform X1 OS=Apteryx mantelli mantelli OX=202946 GN=BICD2 PE=3 SV=1	Apteryx mantelli mantelli	715
A0A8X7XNT9	BICD2 protein (Fragment) OS=Polypterus senegalus OX=55291 GN=Bicd2_0 PE=3 SV=1	Polypterus senegalus	810
A0A8C1FW59	Uncharacterized protein OS=Cyprinus carpio carpio OX=630221 PE=3 SV=1	Cyprinus carpio carpio	819
A0A9J7XY35	BICD cargo adaptor 2 OS=Cyprinus carpio carpio OX=630221 PE=3 SV=1	Cyprinus carpio carpio	846
A0A4U5UTA7	Protein bicaudal D-like protein 2 OS=Collichthys lucidus OX=240159 GN=D9C73_011881 PE=3 SV=1	Collichthys lucidus	914
A0A8U1C0H5	Protein bicaudal D homolog 2-like OS=Salvelinus namaycush OX=8040 GN=LOC120059507 PE=3 SV=1	Salvelinus namaycush	856
A0A671KCC3	Protein bicaudal D homolog 2-like OS=Sinocyclocheilus anshuiensis OX=1608454 GN=LOC107684464 PE=3 SV=1	Sinocyclocheilus anshuiensis	839
A0A671KGS0	Protein bicaudal D homolog 2-like OS=Sinocyclocheilus anshuiensis OX=1608454 GN=LOC107684464 PE=3 SV=1	Sinocyclocheilus anshuiensis	807
A0A8D2M942	BICD cargo adaptor 2 OS=Zonotrichia albicollis OX=44394 GN=BICD2 PE=3 SV=1	Zonotrichia albicollis	701
A0A9F5ILZ3	Protein bicaudal D homolog 2 OS=Python bivittatus OX=176946 GN=BICD2 PE=3 SV=1	Python bivittatus	731
A0A671KCC8	Protein bicaudal D homolog 2-like OS=Sinocyclocheilus anshuiensis OX=1608454 GN=LOC107684464 PE=3 SV=1	Sinocyclocheilus anshuiensis	816
A0A7E6D4W3	inositol-pentakisphosphate 2-kinase OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	1193
A0A671KIQ7	Protein bicaudal D homolog 2-like OS=Sinocyclocheilus anshuiensis OX=1608454 GN=LOC107684464 PE=3 SV=1	Sinocyclocheilus anshuiensis	824
A0A9J8BYT4	BICD cargo adaptor 2 OS=Cyprinus carpio carpio OX=630221 PE=3 SV=1	Cyprinus carpio carpio	834
A0A8C1FYS2	Uncharacterized protein OS=Cyprinus carpio carpio OX=630221 PE=3 SV=2	Cyprinus carpio carpio	825
A0A9J7Z154	Protein bicaudal D homolog 2-like OS=Cyprinus carpio carpio OX=630221 PE=3 SV=1	Cyprinus carpio carpio	799
A0A8C1FW53	Uncharacterized protein OS=Cyprinus carpio carpio OX=630221 PE=3 SV=2	Cyprinus carpio carpio	841
A0A8C1FU63	Protein bicaudal D homolog 2-like OS=Cyprinus carpio carpio OX=630221 PE=3 SV=2	Cyprinus carpio carpio	801
A0A6P6PYM6	Protein bicaudal D homolog 2-like isoform X1 OS=Carassius auratus OX=7957 GN=LOC113107874 PE=3 SV=1	Carassius auratus	835
A0A6P6Q081	Protein bicaudal D homolog 2-like isoform X2 OS=Carassius auratus OX=7957 GN=LOC113107874 PE=3 SV=1	Carassius auratus	800
