Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
443	TR	A0A2U3Z3M6	Protein bicaudal D homolog 2 OS=Leptonychotes weddellii OX=9713 GN=BICD2 PE=3 SV=1	Leptonychotes weddellii	720	3233	89.4	92.2	0.0
444	TR	A0A7J8IH46	BICD cargo adaptor 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_001475 PE=3 SV=1	Rousettus aegyptiacus	778	3224	89.0	92.3	0.0
445	TR	A0A6G1ALB8	BICD2 protein (Fragment) OS=Crocuta crocuta OX=9678 GN=Bicd2 PE=3 SV=1	Crocuta crocuta	757	3219	88.9	91.9	0.0
446	TR	A0A5N4C016	Protein bicaudal D-like protein 2 OS=Camelus dromedarius OX=9838 GN=Cadr_000030184 PE=3 SV=1	Camelus dromedarius	734	3219	88.3	91.1	0.0
447	TR	A0A674GJW1	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=1	Taeniopygia guttata	785	3218	79.0	87.5	0.0
448	TR	A0A5N4C025	Protein bicaudal D-like protein 2 OS=Camelus dromedarius OX=9838 GN=Cadr_000030184 PE=3 SV=1	Camelus dromedarius	762	3216	88.2	91.1	0.0
449	TR	A0A493SWN1	BICD cargo adaptor 2 OS=Anas platyrhynchos platyrhynchos OX=8840 GN=BICD2 PE=3 SV=1	Anas platyrhynchos platyrhynchos	821	3212	79.2	87.5	0.0
450	TR	A0A8J6EMU9	Protein bicaudal D homolog 2 OS=Eleutherodactylus coqui OX=57060 GN=GDO78_021895 PE=3 SV=1	Eleutherodactylus coqui	830	3211	77.8	88.8	0.0
451	TR	A0A8J6EMA6	BICD2 protein OS=Eleutherodactylus coqui OX=57060 GN=GDO78_021895 PE=3 SV=1	Eleutherodactylus coqui	846	3210	77.8	88.8	0.0
452	TR	A0A8C9N895	BICD cargo adaptor 2 OS=Serinus canaria OX=9135 GN=BICD2 PE=3 SV=1	Serinus canaria	815	3208	78.9	87.4	0.0
453	TR	G1PLU3	BICD cargo adaptor 2 OS=Myotis lucifugus OX=59463 GN=BICD2 PE=3 SV=1	Myotis lucifugus	755	3196	88.0	91.8	0.0
454	TR	S9X7Q6	Bicaudal D 2-like protein OS=Camelus ferus OX=419612 GN=CB1_000303008 PE=3 SV=1	Camelus ferus	875	3190	87.1	89.5	0.0
455	TR	A0A7K5DC89	BICD2 protein (Fragment) OS=Pachyramphus minor OX=369605 GN=Bicd2 PE=3 SV=1	Pachyramphus minor	806	3187	81.9	90.3	0.0
456	TR	A0A5N4C021	Protein bicaudal D-like protein 2 OS=Camelus dromedarius OX=9838 GN=Cadr_000030184 PE=3 SV=1	Camelus dromedarius	803	3175	83.6	86.4	0.0
457	TR	A0A673UQB8	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	1257	3173	87.9	91.4	0.0
458	TR	A0A8J0U4F5	Protein bicaudal D homolog 2 isoform X4 OS=Xenopus laevis OX=8355 GN=bicd2.L PE=3 SV=1	Xenopus laevis	839	3167	77.4	88.8	0.0
459	TR	A0A8C5WL72	BICD cargo adaptor 2 OS=Leptobrachium leishanense OX=445787 GN=BICD2 PE=3 SV=1	Leptobrachium leishanense	838	3167	76.9	88.2	0.0
460	TR	A0A9D3RPM9	BICD cargo adaptor 2 OS=Anguilla anguilla OX=7936 GN=ANANG_G00224170 PE=3 SV=1	Anguilla anguilla	848	3162	78.5	88.6	0.0
461	TR	A0A7L2F142	BICD2 protein (Fragment) OS=Quiscalus mexicanus OX=64278 GN=Bicd2 PE=3 SV=1	Quiscalus mexicanus	796	3155	82.0	90.6	0.0
462	TR	A0A8J0U3W5	Protein bicaudal D homolog 2 isoform X1 OS=Xenopus laevis OX=8355 GN=bicd2.S PE=3 SV=1	Xenopus laevis	840	3154	76.3	88.1	0.0
463	TR	A0A8J1KM48	Protein bicaudal D homolog 2 isoform X2 OS=Xenopus laevis OX=8355 GN=bicd2.S PE=3 SV=1	Xenopus laevis	810	3153	76.4	88.1	0.0
464	TR	A0A8C4TI62	BICD cargo adaptor 2 OS=Erpetoichthys calabaricus OX=27687 GN=BICD2 PE=3 SV=1	Erpetoichthys calabaricus	805	3148	78.6	88.5	0.0
465	TR	A0A9D3Q4G7	BICD cargo adaptor 2 OS=Megalops atlanticus OX=7932 GN=MATL_G00106930 PE=3 SV=1	Megalops atlanticus	850	3146	78.3	88.0	0.0
466	TR	W5PEC2	BICD cargo adaptor 2 OS=Ovis aries OX=9940 GN=BICD2 PE=3 SV=1	Ovis aries	744	3132	87.1	89.7	0.0
467	TR	A0A8J1N102	Protein bicaudal D homolog 2 isoform X3 OS=Xenopus laevis OX=8355 GN=LOC108704030 PE=3 SV=1	Xenopus laevis	850	3118	73.9	84.6	0.0
468	TR	A0A8J1MYQ1	Protein bicaudal D homolog 2 isoform X1 OS=Xenopus laevis OX=8355 GN=LOC108704030 PE=3 SV=1	Xenopus laevis	880	3115	73.8	84.6	0.0
469	TR	A0A8J1MYF9	Protein bicaudal D homolog 2 isoform X2 OS=Xenopus laevis OX=8355 GN=LOC108704030 PE=3 SV=1	Xenopus laevis	863	3115	73.8	84.6	0.0
470	TR	A0A2I0LW33	Protein bicaudal D homolog 2 OS=Columba livia OX=8932 GN=A306_00010833 PE=3 SV=1	Columba livia	741	3100	83.1	91.1	0.0
471	TR	A0A7R5L733	Protein bicaudal D homolog 2 OS=Pipra filicauda OX=649802 GN=BICD2 PE=3 SV=1	Pipra filicauda	744	3099	82.4	91.1	0.0
472	TR	A0A8C3ICN8	BICD cargo adaptor 2 OS=Chrysemys picta bellii OX=8478 GN=BICD2 PE=3 SV=1	Chrysemys picta bellii	785	3097	82.1	91.1	0.0
473	TR	K7F5V3	BICD cargo adaptor 2 OS=Pelodiscus sinensis OX=13735 GN=BICD2 PE=3 SV=1	Pelodiscus sinensis	791	3095	80.2	89.5	0.0
474	TR	A0A7K8R3W4	BICD2 protein (Fragment) OS=Smithornis capensis OX=363769 GN=Bicd2_1 PE=3 SV=1	Smithornis capensis	751	3087	82.0	90.1	0.0
475	TR	A0A3Q0G064	Protein bicaudal D homolog 2 isoform X2 OS=Alligator sinensis OX=38654 GN=BICD2 PE=3 SV=1	Alligator sinensis	747	3082	83.1	91.3	0.0
476	TR	A0A8C3L829	BICD cargo adaptor 2 OS=Chrysolophus pictus OX=9089 PE=3 SV=1	Chrysolophus pictus	741	3081	82.8	90.7	0.0
477	TR	A0A3Q0FZB9	Protein bicaudal D homolog 2 isoform X1 OS=Alligator sinensis OX=38654 GN=BICD2 PE=3 SV=1	Alligator sinensis	777	3079	83.0	91.3	0.0
478	TR	A0A8C3L3H6	BICD cargo adaptor 2 OS=Chrysolophus pictus OX=9089 PE=3 SV=1	Chrysolophus pictus	749	3079	82.7	90.7	0.0
479	TR	A0A852EYC5	BICD2 protein (Fragment) OS=Vidua macroura OX=187451 GN=Bicd2 PE=3 SV=1	Vidua macroura	757	3078	81.0	89.6	0.0
480	TR	A0A0P7X939	Protein bicaudal D2-like OS=Scleropages formosus OX=113540 GN=Z043_110088 PE=3 SV=1	Scleropages formosus	849	3078	76.2	87.1	0.0
481	TR	A0A452I711	BICD cargo adaptor 2 OS=Gopherus agassizii OX=38772 PE=3 SV=1	Gopherus agassizii	796	3077	82.7	91.3	0.0
482	TR	A0A7L3WMI3	BICD2 protein (Fragment) OS=Atlantisia rogersi OX=2478892 GN=Bicd2 PE=3 SV=1	Atlantisia rogersi	755	3075	81.3	89.5	0.0
483	TR	A0A6I9HR42	Protein bicaudal D homolog 2 OS=Geospiza fortis OX=48883 GN=BICD2 PE=3 SV=1	Geospiza fortis	737	3072	82.8	91.1	0.0
484	TR	A0A8B9N6T4	BICD cargo adaptor 2 OS=Accipiter nisus OX=211598 PE=3 SV=1	Accipiter nisus	780	3072	83.0	91.0	0.0
485	TR	A0A8C0Z8P5	BICD cargo adaptor 2 OS=Cyanistes caeruleus OX=156563 GN=BICD2 PE=3 SV=1	Cyanistes caeruleus	774	3071	82.6	90.9	0.0
486	TR	A0A7L1YMI1	BICD2 protein (Fragment) OS=Scytalopus superciliaris OX=312124 GN=Bicd2 PE=3 SV=1	Scytalopus superciliaris	770	3068	82.5	90.9	0.0
487	TR	A0A8C0U5Z5	BICD cargo adaptor 2 OS=Cyanistes caeruleus OX=156563 GN=BICD2 PE=3 SV=1	Cyanistes caeruleus	790	3067	82.6	90.9	0.0
488	TR	A0A852NZQ8	BICD2 protein (Fragment) OS=Atrichornis clamosus OX=449594 GN=Bicd2 PE=3 SV=1	Atrichornis clamosus	765	3067	82.8	91.1	0.0
489	TR	A0A7L3PE35	BICD2 protein (Fragment) OS=Xiphorhynchus elegans OX=269412 GN=Bicd2 PE=3 SV=1	Xiphorhynchus elegans	772	3066	82.4	90.6	0.0
490	TR	A0A851ME33	BICD2 protein (Fragment) OS=Campylorhamphus procurvoides OX=190295 GN=Bicd2 PE=3 SV=1	Campylorhamphus procurvoides	772	3066	82.4	90.6	0.0
491	TR	A0A8C9F8M9	BICD cargo adaptor 2 OS=Pavo cristatus OX=9049 PE=3 SV=1	Pavo cristatus	808	3065	82.7	90.8	0.0
492	TR	A0A7K6CYY5	BICD2 protein (Fragment) OS=Origma solitaria OX=720586 GN=Bicd2 PE=3 SV=1	Origma solitaria	765	3064	82.8	90.7	0.0
493	TR	A0A2I0LW51	Protein bicaudal D homolog 2 OS=Columba livia OX=8932 GN=A306_00010833 PE=3 SV=1	Columba livia	726	3064	83.8	91.7	0.0
494	TR	A0A7L4MYD9	BICD2 protein (Fragment) OS=Ceyx cyanopectus OX=390723 GN=Bicd2 PE=3 SV=1	Ceyx cyanopectus	765	3063	82.8	91.3	0.0
495	TR	A0A7L0WXD0	BICD2 protein (Fragment) OS=Alectura lathami OX=81907 GN=Bicd2 PE=3 SV=1	Alectura lathami	767	3060	83.0	90.9	0.0
496	TR	A0A093BQC9	Protein bicaudal D 2 (Fragment) OS=Chaetura pelagica OX=8897 GN=M959_13916 PE=3 SV=1	Chaetura pelagica	765	3060	82.7	90.9	0.0
497	TR	M7AT93	Protein bicaudal D like protein 2 (Fragment) OS=Chelonia mydas OX=8469 GN=UY3_15022 PE=3 SV=1	Chelonia mydas	771	3059	81.9	90.3	0.0
498	TR	A0A7K8WDK2	BICD2 protein (Fragment) OS=Sclerurus mexicanus OX=265632 GN=Bicd2 PE=3 SV=1	Sclerurus mexicanus	772	3059	82.2	90.6	0.0
499	TR	A0A672IVT7	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	835	3057	76.3	86.9	0.0
500	TR	R0JVV8	Protein bicaudal D-like protein 2 (Fragment) OS=Anas platyrhynchos OX=8839 GN=Anapl_07223 PE=3 SV=1	Anas platyrhynchos	766	3056	82.4	90.8	0.0
501	TR	A0A7K7XVC9	BICD2 protein (Fragment) OS=Mohoua ochrocephala OX=874463 GN=Bicd2 PE=3 SV=1	Mohoua ochrocephala	773	3056	82.2	90.3	0.0
502	TR	A0A803Y3S5	BICD cargo adaptor 2 OS=Meleagris gallopavo OX=9103 PE=3 SV=1	Meleagris gallopavo	736	3056	82.7	90.9	0.0
503	TR	G1N201	Uncharacterized protein OS=Meleagris gallopavo OX=9103 PE=3 SV=2	Meleagris gallopavo	755	3056	82.7	90.9	0.0
504	TR	A0A7K9V6S3	BICD2 protein (Fragment) OS=Anseranas semipalmata OX=8851 GN=Bicd2 PE=3 SV=1	Anseranas semipalmata	767	3053	82.6	90.8	0.0
505	TR	A0A667Z639	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	847	3053	76.5	86.8	0.0
506	TR	A0A7L0K6T4	BICD2 protein (Fragment) OS=Chauna torquata OX=30388 GN=Bicd2 PE=3 SV=1	Chauna torquata	767	3052	82.6	90.6	0.0
507	TR	A0A852BMH0	BICD2 protein (Fragment) OS=Ramphastos sulfuratus OX=322582 GN=Bicd2 PE=3 SV=1	Ramphastos sulfuratus	776	3052	81.7	89.7	0.0
508	TR	A0A7K4REK2	BICD2 protein (Fragment) OS=Neopipo cinnamomea OX=456388 GN=Bicd2 PE=3 SV=1	Neopipo cinnamomea	772	3050	81.9	90.4	0.0
509	TR	A0A7L3L529	BICD2 protein (Fragment) OS=Turnix velox OX=2529409 GN=Bicd2 PE=3 SV=1	Turnix velox	777	3050	81.5	89.7	0.0
510	TR	A0A7K6PJM4	BICD2 protein (Fragment) OS=Ifrita kowaldi OX=461245 GN=Bicd2 PE=3 SV=1	Ifrita kowaldi	766	3050	82.7	90.6	0.0
511	TR	A0A7K9F1I3	BICD2 protein (Fragment) OS=Stercorarius parasiticus OX=54059 GN=Bicd2 PE=3 SV=1	Stercorarius parasiticus	780	3049	81.4	89.2	0.0
512	TR	A0A093Q300	Protein bicaudal D 2 (Fragment) OS=Manacus vitellinus OX=328815 GN=N305_01943 PE=3 SV=1	Manacus vitellinus	772	3048	81.9	90.3	0.0
513	TR	A0A667Z666	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	861	3047	76.3	86.6	0.0
514	TR	A0A672IV96	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	820	3047	76.2	86.6	0.0
515	TR	A0A7K6RDT7	BICD2 protein (Fragment) OS=Rhynochetos jubatus OX=54386 GN=Bicd2 PE=3 SV=1	Rhynochetos jubatus	756	3046	80.4	89.0	0.0
516	TR	A0A7L0XP44	BICD2 protein (Fragment) OS=Tyrannus savana OX=137541 GN=Bicd2 PE=3 SV=1	Tyrannus savana	771	3045	82.0	90.3	0.0
517	TR	A0A7L2SBG2	BICD2 protein (Fragment) OS=Mystacornis crossleyi OX=98133 GN=Bicd2 PE=3 SV=1	Mystacornis crossleyi	766	3044	82.4	90.6	0.0
518	TR	A0A7L3H5Q0	BICD2 protein (Fragment) OS=Buphagus erythrorhynchus OX=245048 GN=Bicd2 PE=3 SV=1	Buphagus erythrorhynchus	773	3044	81.7	90.0	0.0
519	TR	A0A851A180	BICD2 protein (Fragment) OS=Sula dactylatra OX=56068 GN=Bicd2 PE=3 SV=1	Sula dactylatra	771	3042	81.9	90.0	0.0
520	TR	A0A852EZC5	BICD2 protein (Fragment) OS=Peucedramus taeniatus OX=135441 GN=Bicd2 PE=3 SV=1	Peucedramus taeniatus	774	3042	81.6	89.9	0.0
521	TR	A0A091FQ25	Protein bicaudal D 2 (Fragment) OS=Cuculus canorus OX=55661 GN=N303_09288 PE=3 SV=1	Cuculus canorus	765	3041	82.0	90.7	0.0
522	TR	A0A850UCP7	BICD2 protein (Fragment) OS=Grus americana OX=9117 GN=Bicd2 PE=3 SV=1	Grus americana	782	3041	81.1	89.0	0.0
523	TR	A0A851FAA0	BICD2 protein (Fragment) OS=Pitta sordida OX=9163 GN=Bicd2 PE=3 SV=1	Pitta sordida	772	3041	81.6	90.3	0.0
524	TR	A0A7K9S411	BICD2 protein (Fragment) OS=Sterrhoptilus dennistouni OX=2585820 GN=Bicd2 PE=3 SV=1	Sterrhoptilus dennistouni	765	3040	82.3	90.6	0.0
525	TR	A0A091NFY7	Protein bicaudal D 2 (Fragment) OS=Acanthisitta chloris OX=57068 GN=N310_12439 PE=3 SV=1	Acanthisitta chloris	766	3040	82.3	90.6	0.0
526	TR	A0A8J7TIR7	BICD2 protein (Fragment) OS=Atractosteus spatula OX=7917 GN=Bicd2_0 PE=3 SV=1	Atractosteus spatula	1851	3039	72.4	81.9	0.0
527	TR	A0A091W1W4	Protein bicaudal D 2 (Fragment) OS=Opisthocomus hoazin OX=30419 GN=N306_13076 PE=3 SV=1	Opisthocomus hoazin	774	3039	81.6	89.7	0.0
528	TR	A0A6P7I9Z7	Protein bicaudal D homolog 2-like isoform X3 OS=Parambassis ranga OX=210632 GN=LOC114438112 PE=3 SV=1	Parambassis ranga	826	3038	75.7	86.1	0.0
529	TR	A0A6P7IJS9	Protein bicaudal D homolog 2-like isoform X1 OS=Parambassis ranga OX=210632 GN=LOC114438112 PE=3 SV=1	Parambassis ranga	866	3038	75.7	86.1	0.0
530	TR	A0A087R8C2	Protein bicaudal D 2 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_10554 PE=3 SV=1	Aptenodytes forsteri	782	3038	80.8	89.0	0.0
531	TR	A0A7L2I6Q2	BICD2 protein (Fragment) OS=Sagittarius serpentarius OX=56258 GN=Bicd2 PE=3 SV=1	Sagittarius serpentarius	773	3038	81.7	89.5	0.0
532	TR	A0A8J4P684	BICD2 protein (Fragment) OS=Aptenodytes patagonicus OX=9234 GN=FQA23_0014212 PE=3 SV=1	Aptenodytes patagonicus	782	3038	80.8	89.0	0.0
533	TR	A0A7K6QDK1	BICD2 protein (Fragment) OS=Climacteris rufus OX=47695 GN=Bicd2 PE=3 SV=1	Climacteris rufus	766	3038	82.2	90.5	0.0
534	TR	A0A4W6EQD2	Protein bicaudal D homolog 2-like OS=Lates calcarifer OX=8187 GN=BICD2 PE=3 SV=1	Lates calcarifer	836	3038	76.1	87.1	0.0
535	TR	A0A4W6EPH9	Protein bicaudal D homolog 2-like OS=Lates calcarifer OX=8187 GN=BICD2 PE=3 SV=1	Lates calcarifer	821	3038	76.1	87.1	0.0
536	TR	A0A7K8PXW2	BICD2 protein (Fragment) OS=Cochlearius cochlearius OX=110676 GN=Bicd2 PE=3 SV=1	Cochlearius cochlearius	777	3038	81.4	89.4	0.0
537	TR	A0A6P7IHI6	Protein bicaudal D homolog 2-like isoform X2 OS=Parambassis ranga OX=210632 GN=LOC114438112 PE=3 SV=1	Parambassis ranga	841	3038	75.7	86.1	0.0
538	TR	A0A7L2TLA8	BICD2 protein (Fragment) OS=Pomatostomus ruficeps OX=9176 GN=Bicd2 PE=3 SV=1	Pomatostomus ruficeps	766	3037	82.2	90.6	0.0
539	TR	A0A091INP0	Protein bicaudal D 2 (Fragment) OS=Egretta garzetta OX=188379 GN=Z169_11059 PE=3 SV=1	Egretta garzetta	777	3037	81.4	89.4	0.0
540	TR	A0A091HE94	Protein bicaudal D 2 (Fragment) OS=Buceros rhinoceros silvestris OX=175836 GN=N320_01964 PE=3 SV=1	Buceros rhinoceros silvestris	777	3036	81.2	89.4	0.0
541	TR	A0A7K5RTJ2	BICD2 protein (Fragment) OS=Lanius ludovicianus OX=28713 GN=Bicd2 PE=3 SV=1	Lanius ludovicianus	766	3035	82.2	90.3	0.0
542	TR	A0A7L0UHK5	BICD2 protein (Fragment) OS=Chordeiles acutipennis OX=118183 GN=Bicd2 PE=3 SV=1	Chordeiles acutipennis	778	3035	81.1	89.2	0.0
543	TR	A0A851LE23	BICD2 protein (Fragment) OS=Corythaeola cristata OX=103954 GN=Bicd2 PE=3 SV=1	Corythaeola cristata	776	3033	81.2	89.4	0.0
544	TR	A0A7L3CKN7	BICD2 protein (Fragment) OS=Pelecanoides urinatrix OX=37079 GN=Bicd2 PE=3 SV=1	Pelecanoides urinatrix	762	3033	82.3	90.5	0.0
545	TR	A0A672IV99	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	835	3032	76.1	86.5	0.0
546	TR	A0A851EMI2	BICD2 protein (Fragment) OS=Dryoscopus gambensis OX=85069 GN=Bicd2 PE=3 SV=1	Dryoscopus gambensis	766	3032	82.2	90.3	0.0
547	TR	A0A3P8TB97	BICD cargo adaptor 2 OS=Amphiprion percula OX=161767 GN=BICD2 PE=3 SV=1	Amphiprion percula	822	3031	75.5	85.8	0.0
548	TR	A0A3Q1B1T4	Protein bicaudal D homolog 2-like OS=Amphiprion ocellaris OX=80972 GN=BICD2 PE=3 SV=1	Amphiprion ocellaris	862	3031	75.5	85.8	0.0
549	TR	A0A7K7YQM6	BICD2 protein (Fragment) OS=Thryothorus ludovicianus OX=74200 GN=Bicd2 PE=3 SV=1	Thryothorus ludovicianus	765	3031	81.6	90.6	0.0
550	TR	A0A7K7TZD7	BICD2 protein (Fragment) OS=Ibidorhyncha struthersii OX=425643 GN=Bicd2 PE=3 SV=1	Ibidorhyncha struthersii	762	3031	82.3	90.3	0.0
551	TR	A0A3Q1EYF7	Protein bicaudal D homolog 2-like OS=Acanthochromis polyacanthus OX=80966 GN=BICD2 PE=3 SV=1	Acanthochromis polyacanthus	822	3029	75.7	86.1	0.0
552	TR	A0A3Q1HHE1	Protein bicaudal D homolog 2-like OS=Acanthochromis polyacanthus OX=80966 GN=BICD2 PE=3 SV=1	Acanthochromis polyacanthus	837	3029	75.7	86.1	0.0
553	TR	A0A7K6WUD9	BICD2 protein (Fragment) OS=Steatornis caripensis OX=48435 GN=Bicd2 PE=3 SV=1	Steatornis caripensis	762	3029	82.3	90.3	0.0
554	TR	A0A7L2JMG8	BICD2 protein (Fragment) OS=Cinclus mexicanus OX=161649 GN=Bicd2 PE=3 SV=1	Cinclus mexicanus	766	3029	81.8	90.3	0.0
555	TR	A0A7L3DHW8	BICD2 protein (Fragment) OS=Pluvianellus socialis OX=227228 GN=Bicd2 PE=3 SV=1	Pluvianellus socialis	778	3029	81.1	89.2	0.0
556	TR	A0A091EWE6	Protein bicaudal D 2 (Fragment) OS=Corvus brachyrhynchos OX=85066 GN=N302_07179 PE=3 SV=1	Corvus brachyrhynchos	766	3028	82.0	90.2	0.0
557	TR	A0A7L0GX98	BICD2 protein (Fragment) OS=Herpetotheres cachinnans OX=56343 GN=Bicd2 PE=3 SV=1	Herpetotheres cachinnans	770	3028	81.9	89.7	0.0
558	TR	A0A851SHE4	BICD2 protein (Fragment) OS=Certhia familiaris OX=73333 GN=Bicd2 PE=3 SV=1	Certhia familiaris	766	3028	81.9	90.3	0.0
559	TR	A0A7K5NC59	BICD2 protein (Fragment) OS=Chroicocephalus maculipennis OX=287016 GN=Bicd2 PE=3 SV=1	Chroicocephalus maculipennis	759	3028	82.3	90.2	0.0
560	TR	A0A7K8UIC4	BICD2 protein (Fragment) OS=Oceanites oceanicus OX=79653 GN=Bicd2 PE=3 SV=1	Oceanites oceanicus	762	3027	82.1	90.2	0.0
561	TR	A0A099ZMB3	Protein bicaudal D 2 (Fragment) OS=Tinamus guttatus OX=94827 GN=N309_01179 PE=3 SV=1	Tinamus guttatus	768	3027	81.7	90.4	0.0
562	TR	A0A7L3Z8Q4	BICD2 protein (Fragment) OS=Fregetta grallaria OX=79628 GN=Bicd2 PE=3 SV=1	Fregetta grallaria	762	3027	82.1	90.2	0.0
563	TR	A0A7L1H0N9	BICD2 protein (Fragment) OS=Indicator maculatus OX=545262 GN=Bicd2 PE=3 SV=1	Indicator maculatus	782	3026	80.4	88.5	0.0
564	TR	A0A667ZS77	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	851	3026	76.2	86.3	0.0
565	TR	A0A672ISK0	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	886	3026	76.1	86.4	0.0
566	TR	A0A672IUX5	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	877	3026	76.1	86.4	0.0
567	TR	A0A7K7APG7	BICD2 protein (Fragment) OS=Nothoprocta ornata OX=83376 GN=Bicd2 PE=3 SV=1	Nothoprocta ornata	768	3026	81.6	90.2	0.0
568	TR	A0A3Q1IMT1	Protein bicaudal D homolog 2-like OS=Anabas testudineus OX=64144 GN=FGD3 PE=3 SV=1	Anabas testudineus	820	3025	75.8	87.1	0.0
569	TR	A0A3Q1IQW9	Protein bicaudal D homolog 2-like OS=Anabas testudineus OX=64144 GN=FGD3 PE=3 SV=2	Anabas testudineus	856	3025	75.8	87.1	0.0
570	TR	A0A7N6BQH1	Protein bicaudal D homolog 2-like OS=Anabas testudineus OX=64144 GN=FGD3 PE=3 SV=1	Anabas testudineus	842	3025	75.8	87.1	0.0
571	TR	A0A7K5WR18	BICD2 protein (Fragment) OS=Hylia prasina OX=208073 GN=Bicd2 PE=3 SV=1	Hylia prasina	766	3024	81.6	90.6	0.0
572	TR	A0A091N0R6	Protein bicaudal D 2 (Fragment) OS=Apaloderma vittatum OX=57397 GN=N311_02821 PE=3 SV=1	Apaloderma vittatum	766	3024	81.8	90.2	0.0
573	TR	A0A671VUU4	BICD cargo adaptor 2 OS=Sparus aurata OX=8175 GN=BICD2 PE=3 SV=1	Sparus aurata	821	3023	76.1	86.4	0.0
574	TR	A0A087YB49	Protein bicaudal D homolog 2 OS=Poecilia formosa OX=48698 GN=BICD2 PE=3 SV=2	Poecilia formosa	861	3021	75.5	86.0	0.0
575	TR	A0A3P9NX11	BICD cargo adaptor 2 OS=Poecilia reticulata OX=8081 GN=BICD2 PE=3 SV=1	Poecilia reticulata	867	3021	75.8	86.4	0.0
576	TR	A0A7K8ECI4	BICD2 protein (Fragment) OS=Leucopsar rothschildi OX=127929 GN=Bicd2 PE=3 SV=1	Leucopsar rothschildi	766	3020	81.8	90.2	0.0
577	TR	A0A096ME17	Protein bicaudal D homolog 2 OS=Poecilia formosa OX=48698 GN=BICD2 PE=3 SV=1	Poecilia formosa	865	3020	75.2	85.6	0.0
578	TR	A0A7K5HP71	BICD2 protein (Fragment) OS=Crotophaga sulcirostris OX=33598 GN=Bicd2 PE=3 SV=1	Crotophaga sulcirostris	763	3020	81.7	90.2	0.0
579	TR	A0A7K4XVJ4	BICD2 protein (Fragment) OS=Regulus satrapa OX=13245 GN=Bicd2 PE=3 SV=1	Regulus satrapa	766	3019	81.5	90.3	0.0
580	TR	A0A7L4DE94	BICD2 protein (Fragment) OS=Eurystomus gularis OX=325343 GN=Bicd2 PE=3 SV=1	Eurystomus gularis	772	3018	81.2	89.5	0.0
581	TR	A0A668VWE4	BICD cargo adaptor 2 OS=Oreochromis aureus OX=47969 PE=3 SV=1	Oreochromis aureus	817	3018	75.3	86.0	0.0
582	TR	A0A6A5FCV9	BICD cargo adaptor 2 OS=Perca fluviatilis OX=8168 GN=PFLUV_G00056620 PE=3 SV=1	Perca fluviatilis	812	3018	76.2	87.1	0.0
583	TR	A0A6G1Q3P0	Protein bicaudal D-like protein 2 OS=Channa argus OX=215402 GN=EXN66_Car012749 PE=3 SV=1	Channa argus	862	3018	75.8	86.6	0.0
584	TR	A0A093HZA4	Protein bicaudal D 2 (Fragment) OS=Struthio camelus australis OX=441894 GN=N308_01956 PE=3 SV=1	Struthio camelus australis	779	3018	80.8	89.2	0.0
585	TR	A0A7K7GF93	BICD2 protein (Fragment) OS=Erithacus rubecula OX=37610 GN=Bicd2 PE=3 SV=1	Erithacus rubecula	773	3017	81.0	89.5	0.0
586	TR	A0A3Q3NNS2	Protein bicaudal D homolog 2-like OS=Mastacembelus armatus OX=205130 PE=3 SV=2	Mastacembelus armatus	820	3017	74.5	85.0	0.0
587	TR	A0A673CQ92	Protein bicaudal D homolog 2-like OS=Sphaeramia orbicularis OX=375764 GN=LOC115423070 PE=3 SV=1	Sphaeramia orbicularis	808	3015	75.0	86.1	0.0
588	TR	A0A3Q3ARM2	Protein bicaudal D homolog 2-like OS=Kryptolebias marmoratus OX=37003 GN=BICD2 PE=3 SV=1	Kryptolebias marmoratus	858	3014	75.8	86.3	0.0
589	TR	A0A665VZP9	Protein bicaudal D homolog 2-like OS=Echeneis naucrates OX=173247 GN=LOC115046032 PE=3 SV=1	Echeneis naucrates	852	3013	75.5	86.5	0.0
